1;17
2;37
3;136
4;62
5;129
6;32
7;97
8;19
9;148
10;105
11;158
12;41
13;133
14;11
15;90
16;146
17;161
18;39
19;81
20;112
21;60
22;57
23;94
24;77
25;162
26;33
27;152
28;142
29;117
30;30
31;150
32;135
33;65
34;91
35;73
36;66
37;89
38;130
39;143
40;141
41;144
42;47
43;82
44;78
45;45
46;108
47;132
48;102
49;44
50;166
51;123
52;84
53;107
54;35
55;116
56;83
57;95
58;64
59;118
60;147
61;127
62;137
63;126
64;27
65;80
66;69
67;86
68;36
69;85
70;55
71;18
72;163
73;110
74;14
75;54
76;128
77;153
78;167
79;113
80;121
81;3
82;58
83;119
84;8
85;155
86;103
87;151
88;13
89;67
90;156
91;104
92;160
93;56
94;52
95;98
96;74
97;138
98;72
99;140
100;145
101;50
102;2
103;92
104;61
105;165
106;88
107;16
108;157
109;28
110;111
111;49
112;22
113;164
114;29
115;101
116;79
117;154
118;109
119;15
120;124
121;125
122;134
123;63
124;149
125;25
126;159
127;59
128;115
129;12
130;51
131;75
132;31
133;48
134;68
135;100
136;21
137;139
138;96
139;99
140;122
141;114
142;120
143;26
144;70
145;5
146;7
147;10
148;9
149;42
150;40
151;34
152;76
153;131
154;38
155;20
156;4
157;23
158;24
159;1
160;6
161;71
162;53
163;87
164;46
165;43
166;106
167;93
